Initial price is $10.00
day 169 price is $95.91
day 170 price is $92.25
day 171 price is $97.51
day 172 price is $94.71
day 173 price is $102.71
day 174 price is $105.49
day 175 price is $113.35
day 176 price is $119.67
day 177 price is $116.71
day 178 price is $112.21
day 179 price is $121.97
day 180 price is $127.54
day 181 price is $123.48
day 182 price is $131.89
day 183 price is $137.23
day 184 price is $141.63
day 185 price is $143.92
day 186 price is $145.85
day 187 price is $148.65
day 188 price is $162.04
day 189 price is $161.57
day 190 price is $161.12
day 191 price is $172.35
day 192 price is $189.55
day 193 price is $189.10
day 194 price is $189.84
day 195 price is $202.36
day 196 price is $201.02
day 197 price is $215.83
day 198 price is $231.63
day 199 price is $247.32
day 200 price is $245.33
day 201 price is $243.65
day 202 price is $231.80
day 203 price is $222.64
day 204 price is $227.32
day 205 price is $249.17
day 206 price is $257.19
day 207 price is $278.35
day 208 price is $285.16
day 209 price is $301.61
day 210 price is $323.09
day 211 price is $349.43
day 212 price is $337.79
day 213 price is $346.09
day 214 price is $349.49
day 215 price is $341.52
day 216 price is $356.24
day 217 price is $344.61
day 218 price is $344.79
day 219 price is $334.08
day 220 price is $324.79
day 221 price is $314.19
day 222 price is $323.89
day 223 price is $327.89
day 224 price is $319.70
day 225 price is $327.07
day 226 price is $320.79
day 227 price is $322.38
day 228 price is $321.93
day 229 price is $308.79
day 230 price is $314.46
day 231 price is $311.73
day 232 price is $324.36
day 233 price is $337.41
day 234 price is $337.01
day 235 price is $357.14
day 236 price is $339.67
day 237 price is $330.95
day 238 price is $327.29
day 239 price is $325.82
day 240 price is $354.39
day 241 price is $384.27
day 242 price is $406.64
day 243 price is $444.03
day 244 price is $440.93
day 245 price is $434.51
day 246 price is $420.82
day 247 price is $415.93
day 248 price is $405.82
day 249 price is $423.95
day 250 price is $452.03
day 251 price is $477.80
day 252 price is $504.94
day 253 price is $518.46
day 254 price is $542.05
day 255 price is $531.94
day 256 price is $505.62
day 257 price is $517.53
day 258 price is $493.78
day 259 price is $480.53
day 260 price is $507.18
day 261 price is $523.25
day 262 price is $551.16
day 263 price is $531.16
day 264 price is $576.49
day 265 price is $562.67
day 266 price is $536.02
day 267 price is $542.41
day 268 price is $539.14
day 269 price is $525.82
day 270 price is $520.47
day 271 price is $544.15
day 272 price is $519.48
day 273 price is $561.94
day 274 price is $583.74
day 275 price is $578.31
day 276 price is $619.44
day 277 price is $601.26
day 278 price is $571.25
day 279 price is $606.64
day 280 price is $657.03
day 281 price is $645.69
day 282 price is $637.88
day 283 price is $641.50
day 284 price is $622.11
day 285 price is $660.30
day 286 price is $677.58
day 287 price is $648.86
day 288 price is $657.03
day 289 price is $672.33
day 290 price is $654.98
day 291 price is $671.65
day 292 price is $673.47
day 293 price is $709.43
day 294 price is $744.72
day 295 price is $816.24
day 296 price is $883.25
day 297 price is $927.32
day 298 price is $888.38
day 299 price is $912.32
day 300 price is $922.83
day 301 price is $959.22
day 302 price is $1,042.43
